nombre,popularity,artista,pais,genero
That’s So True,92,Gracie Abrams,ME,NULL
123 (feat. Yasin),2,"Cherrie, Yasin",ME,NULL
Clean Baby Sleep White Noise (Loopable),91,"Dream Supplier, Baby Sleeps, Background White Noise",ME,NULL
Hurt,11,OneRepublic,ME,NULL
APT.,91,"ROSÉ, Bruno Mars",ME,NULL
僕は頑張るよっ feat. ano,1,"Shinsei Kamattechan, Ano",ME,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",ME,NULL
Babylon - Live,3,Tamino,ME,NULL
WILDFLOWER,90,Billie Eilish,ME,NULL
Circles,7,SAINt JHN,ME,NULL
Sailor Song,89,Gigi Perez,ME,NULL
"J.S. Bach: Violin Partita No. 2 in D Minor, BWV 1004 - I. Allemanda",3,"Johann Sebastian Bach, Carolin Widmann",ME,NULL
"Good Luck, Babe!",89,Chappell Roan,ME,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,ME,NULL
luther (with sza),89,"Kendrick Lamar, SZA",ME,NULL
BABY GANGSTA,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ME,NULL
luther (with sza),88,"Kendrick Lamar, SZA",ME,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",ME,NULL
DENIAL IS A RIVER,88,Doechii,ME,NULL
Uzi The Earthling! (TV Show Theme),0,Lil Uzi Vert,ME,NULL
Si Antes Te Hubiera Conocido,88,KAROL G,ME,NULL
Ti voglio richiamare,0,"Yanomi, blame, Chakra",ME,NULL
APT.,87,"ROSÉ, Bruno Mars",ME,NULL
Lindo Momento,22,Julliany Souza,ME,NULL
squabble up,87,Kendrick Lamar,ME,NULL
Seu Astral / Mistérios,12,Fiorella,ME,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",ME,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",ME,NULL
"One Of The Girls (with JENNIE, Lily Rose Depp)",87,"The Weeknd, JENNIE, Lily-Rose Depp",ME,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,ME,NULL
