,nombre,popularity,artista,pais,genero
329,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,LV,NULL
330,Do I Wanna Know?,82,Arctic Monkeys,LV,indie rock
331,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",LV,NULL
332,Heartbeat,77,Childish Gambino,LV,Hip-Hop
333,The Real Slim Shady - Edited,0,Eminem,LV,NULL
334,Locked out of Heaven,85,Bruno Mars,LV,pop
335,Smile,0,"Abel The Kid, Julio Iglesias Jr.",LV,NULL
336,Another Love,82,Tom Odell,LV,indie
337,G.U.Y. - An ARTPOP Film,0,Lady Gaga,LV,gaga
338,Champagne Coast,71,Blood Orange,LV,chillwave
339,好不好,0,Evan Yo,LV,fabulous boys
340,Take Me To Church,78,Hozier,LV,indie
341,Samba Pras Moças,0,Mariene De Castro,LV,NULL
342,i was all over her,77,salvia palth,LV,shoegaze
343,Hardkor i disko,0,Sofa,LV,indie
344,A Sky Full of Stars,83,Coldplay,LV,pop
345,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",LV,NULL
346,Bound 2,78,Kanye West,LV,uh huh honey
347,Losing You,0,Revolver,LV,fip
348,Counting Stars,82,OneRepublic,LV,pop rock
349,Byłem (feat. As),0,"Pezet, As",LV,NULL
350,Another Love,82,Tom Odell,NO,indie
351,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,NO,NULL
352,Hjerteknuser,49,Kaizers Orchestra,NO,rock
353,Bede Z Toba,9,Lemon,NO,NULL
354,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",NO,NULL
355,Layla - Live,0,Eric Clapton,NO,NULL
356,I Wanna Be Yours,86,Arctic Monkeys,NO,indie rock
357,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,NO,NULL
358,Sweater Weather,85,The Neighbourhood,NO,indie
359,Ballada o Janku Wisniewskim,1,Kazik,NO,rock
360,Take Me To Church,78,Hozier,NO,indie
361,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,NO,NULL
362,Händerna mot himlen,56,Petra Marklund,NO,swedish
363,Bede Z Toba - Hangout Live,2,Lemon,NO,NULL
364,Wake Me Up,82,Avicii,NO,electronic
365,Lågsus (feat. Medina),0,"Specktors, Medina",NO,NULL
366,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",NO,NULL
367,Plastic Dreams 2003,2,JayDee,NO,NULL
368,A Sky Full of Stars,83,Coldplay,NO,pop
369,Smile,0,"Abel The Kid, Julio Iglesias Jr.",NO,NULL
370,Locked out of Heaven,85,Bruno Mars,NO,pop
371,Losing You,0,Revolver,NO,fip
372,Bordet,48,Gabrielle,NO,Gabrielle
373,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,NO,NULL
374,No Role Modelz,81,J. Cole,NO,MySpotigramBot
375,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",NO,NULL
376,Timber,80,"Pitbull, Kesha",NO,NULL
377,Blur on Beetlebum HD,0,Blur,NO,NULL
378,Just the Way You Are,78,Bruno Mars,NO,pop
379,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,NO,NULL
380,Only Girl (In The World),79,Rihanna,NO,pop
381,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,NO,NULL
382,La La La,77,"Naughty Boy, Sam Smith",NO,NULL
383,Byłem (feat. As),0,"Pezet, As",NO,NULL
384,Je te laisserai des mots,78,Patrick Watson,NO,french
385,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,NO,NULL
