,nombre,popularity,artista,pais,genero
269,Bede Z Toba - Hangout Live,2,Lemon,LU,NULL
270,Counting Stars,82,OneRepublic,LU,pop rock
271,Ballada o Janku Wisniewskim,1,Kazik,LU,rock
272,Take Me To Church,78,Hozier,LU,indie
273,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,LU,NULL
274,Demons,79,Imagine Dragons,LU,rock
275,Iré tras de ti,0,Mr.,LU,NULL
276,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",LU,NULL
277,Now Is the Time (feat. Jasmine V),0,Wally Lopez,LU,NULL
278,Someone Like You,77,Adele,LU,Adele
279,Lågsus (feat. Medina),0,"Specktors, Medina",LU,NULL
280,Titanium (feat. Sia),77,"David Guetta, Sia",LU,NULL
281,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",LU,NULL
282,We Found Love,73,"Rihanna, Calvin Harris",LU,NULL
283,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,LU,NULL
284,Timber,80,"Pitbull, Kesha",LU,NULL
285,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",LU,NULL
286,Money Trees,79,"Kendrick Lamar, Jay Rock",LU,NULL
287,The Real Slim Shady - Edited,0,Eminem,LU,NULL
288,Set Fire to the Rain,77,Adele,LU,soul
289,Smile,0,"Abel The Kid, Julio Iglesias Jr.",LU,NULL
290,Shut Up and Dance,80,WALK THE MOON,LU,indie pop
291,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,LU,NULL
292,When I Was Your Man,83,Bruno Mars,LU,pop
293,G.U.Y. - An ARTPOP Film,0,Lady Gaga,LU,gaga
294,Je te laisserai des mots,78,Patrick Watson,LU,french
295,好不好,0,Evan Yo,LU,fabulous boys
296,Grenade,77,Bruno Mars,LU,pop
297,Hardkor i disko,0,Sofa,LU,indie
298,No Role Modelz,81,J. Cole,LU,MySpotigramBot
299,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",LU,NULL
300,Oceaan,60,Racoon,NL,Oceaan
301,Plastic Dreams 2003,2,JayDee,NL,NULL
302,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",NL,NULL
303,Bede Z Toba,9,Lemon,NL,NULL
304,Another Love,82,Tom Odell,NL,indie
305,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,NL,NULL
306,Someone Like You,77,Adele,NL,Adele
307,¿Qué sería?,0,David Cavazos,NL,NULL
308,A Sky Full of Stars,83,Coldplay,NL,pop
309,Het Kuikentje Piep,0,Pulcino Pio,NL,NULL
310,Locked out of Heaven,85,Bruno Mars,NL,pop
311,When We Don't Exist Reissue (Learn Your Place),0,Like Moths To Flames,NL,NULL
312,Just the Way You Are,78,Bruno Mars,NL,pop
313,Now Is the Time (feat. Jasmine V),0,Wally Lopez,NL,NULL
314,All of Me,81,John Legend,NL,rnb
315,Tú y yo - Enjoy,0,Revolver,NL,NULL
316,Wake Me Up,82,Avicii,NL,electronic
317,"Es lo que es, hay lo que hay - Enjoy",0,Revolver,NL,NULL
318,Sweater Weather,85,The Neighbourhood,NL,indie
319,No va más - Enjoy,0,Revolver,NL,NULL
320,Set Fire to the Rain,77,Adele,NL,soul
321,"Muskurane (Film Version) [From ""Citylights""]",0,"Jeet Gannguli, Arijit Singh",NL,NULL
322,Sterrenstof,55,De Jeugd Van Tegenwoordig,NL,Hip-Hop
323,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,NL,NULL
324,Take Me To Church,78,Hozier,NL,indie
